mean_phiN,mean_phiR,mean_N,q_N,mean_R,q_R,survive,mu,sigc,m,sigm,K,sigK,S,M,gamma,N_bar,qN_bar,R_bar,qR_bar,survive_bar,phiN_bar,phiR_bar,consumed_power,power_bar,opt_f,opt_f_bar
0.532,0.8008,0.761725509,1.655428726,0.968410076,1.664842789,0.532,1,1,1,0.1,1,1,10,100,0.1,0.298769102,0.975564446,0.104038519,0.274741766,0.155486334,0.155486334,0.044714204,7.553990915,2.977100136,0.198758017,0.071866678
0.359677419,0.724,0.452840175,0.91687526,0.644024752,0.848466678,0.359677419,1,1,1,0.1,1,1,62,100,0.62,0.082649347,0.305737216,0.072079212,0.155727152,0.04787362,0.04787362,0.046173586,27.474891,4.866223743,0.563634158,0.142818382
0.26754386,0.6976,0.29574384,0.549757065,0.513299727,0.559279211,0.26754386,1,1,1,0.1,1,1,114,100,1.14,0.047037965,0.152137019,0.042779413,0.072557068,0.032218189,0.032218189,0.047478837,32.87745308,5.233584104,0.719266428,0.155587362
0.203373494,0.689,0.220263348,0.413335789,0.440296191,0.415048043,0.203373494,1,1,1,0.1,1,1,166,100,1.66,0.026380843,0.096532524,0.03318935,0.058862696,0.023379704,0.023379704,0.04419276,35.42884995,4.262847823,0.851320975,0.156740555
0.172385321,0.6824,0.17479388,0.302747406,0.417271423,0.377768641,0.172385321,1,1,1,0.1,1,1,218,100,2.18,0.018159937,0.052691885,0.029765274,0.048056362,0.019026249,0.019026249,0.037232244,36.95276898,3.915151805,0.919090783,0.138807525
0.145555556,0.6892,0.141186266,0.239201846,0.383337387,0.317570168,0.145555556,1,1,1,0.1,1,1,270,100,2.7,0.016126837,0.045581672,0.025683262,0.036688508,0.015203241,0.015203241,0.038824734,36.81889047,4.336124915,0.972722883,0.17230194
0.12378882,0.6804,0.118448081,0.193290971,0.365581534,0.289784918,0.12378882,1,1,1,0.1,1,1,322,100,3.22,0.014061976,0.039945789,0.017193728,0.025235595,0.012999185,0.012999185,0.038103018,36.78402997,4.354968909,1.00624422,0.192128389
0.111069519,0.6916,0.101410797,0.161219859,0.350693103,0.26090002,0.111069519,1,1,1,0.1,1,1,374,100,3.74,0.01071303,0.031567111,0.020463548,0.02463139,0.013220675,0.013220675,0.043970899,36.59277554,3.850901936,1.044662565,0.17941246
0.096244131,0.6752,0.088104139,0.14444756,0.337021749,0.246613392,0.096244131,1,1,1,0.1,1,1,426,100,4.26,0.009737514,0.032213727,0.020384459,0.022284439,0.010476955,0.010476955,0.041532638,35.80762781,4.015660744,1.01906765,0.170159254
0.091004184,0.689,0.07905563,0.122620789,0.330540661,0.235367172,0.091004184,1,1,1,0.1,1,1,478,100,4.78,0.008017393,0.02497623,0.017568982,0.019898538,0.009301981,0.009301981,0.044687806,35.92426713,3.637573144,1.043485292,0.170254282
0.082749529,0.6838,0.069562961,0.105332263,0.321961033,0.225004993,0.082749529,1,1,1,0.1,1,1,531,100,5.31,0.007861078,0.022896158,0.019371634,0.018144143,0.008525979,0.008525979,0.039440588,35.35698117,4.107688646,1.050564886,0.203953658
0.075128645,0.693,0.064221789,0.097397285,0.317005573,0.213951827,0.075128645,1,1,1,0.1,1,1,583,100,5.83,0.005338855,0.017887576,0.015546765,0.01385551,0.008793143,0.008793143,0.049849774,35.79084314,3.080277001,1.103147065,0.154445223
0.071716535,0.693,0.059419069,0.089032079,0.308808044,0.206506863,0.071716535,1,1,1,0.1,1,1,635,100,6.35,0.005487874,0.019869209,0.016123955,0.018513302,0.007869038,0.007869038,0.037,35.68790745,3.415265941,1.122395302,0.169996875
0.065997089,0.6966,0.053939928,0.07866385,0.30801109,0.200113312,0.065997089,1,1,1,0.1,1,1,687,100,6.87,0.00454362,0.016475733,0.014007067,0.012416567,0.00604109,0.00604109,0.038084643,35.31752563,3.105719501,1.112845191,0.175806718
0.061244926,0.6908,0.050082636,0.071797727,0.297877432,0.191350937,0.061244926,1,1,1,0.1,1,1,739,100,7.39,0.005014882,0.013425057,0.015355292,0.013384416,0.006397608,0.006397608,0.042371689,35.10526377,3.667426182,1.121405368,0.201360257
0.058887484,0.6958,0.046257676,0.063859262,0.29929406,0.187865266,0.058887484,1,1,1,0.1,1,1,791,100,7.91,0.004401679,0.011019377,0.016319116,0.013223787,0.006021151,0.006021151,0.045347106,34.68179009,3.36387431,1.106888698,0.151425576
0.054234875,0.7024,0.043125132,0.06012759,0.295381803,0.181408666,0.054234875,1,1,1,0.1,1,1,843,100,8.43,0.003706191,0.009911684,0.016550937,0.014115181,0.006011508,0.006011508,0.040376231,34.41455449,2.90591662,1.10957568,0.140502107
0.052,0.6928,0.040259826,0.055764088,0.289867616,0.177434062,0.052,1,1,1,0.1,1,1,895,100,8.95,0.00400021,0.009992787,0.014595538,0.011081979,0.005934255,0.005934255,0.051226556,34.05281646,3.367483705,1.11658383,0.183818339
0.048891235,0.696,0.037489607,0.050444863,0.286006872,0.172218184,0.048891235,1,1,1,0.1,1,1,947,100,9.47,0.003504133,0.00863155,0.014620744,0.014627288,0.004411108,0.004411108,0.036055513,33.5183456,3.178264367,1.097358489,0.161692352
0.04772,0.7014,0.036418282,0.049590154,0.287951273,0.172920457,0.04772,1,1,1,0.1,1,1,1000,100,10,0.002905595,0.008435755,0.013000773,0.011798162,0.004656351,0.004656351,0.037041058,34.43813514,2.746243554,1.136419941,0.154771232
