mean_phiN,mean_phiR,mean_N,q_N,mean_R,q_R,survive,mu,sigc,m,sigm,K,sigK,S,M,gamma,N_bar,qN_bar,R_bar,qR_bar,survive_bar,phiN_bar,phiR_bar,consumed_power,power_bar,opt_f,opt_f_bar
0.454,0.7818,1.234911022,5.515422987,0.92653208,1.564387307,0.454,1,0.5,1,0.1,1,1,10,100,0.1,0.583451754,4.953926723,0.094770785,0.265101536,0.155190206,0.155190206,0.03793099,12.01870084,5.71639894,0.193113179,0.083771727
0.261612903,0.7198,0.544933263,1.980054488,0.669723764,0.905294923,0.261612903,1,0.5,1,0.1,1,1,62,100,0.62,0.118339528,0.652289135,0.055917816,0.130378171,0.059067502,0.059067502,0.038651779,32.47502263,7.063492686,0.466472569,0.125496348
0.177192982,0.6992,0.32686397,1.05688558,0.592095166,0.733886101,0.177192982,1,0.5,1,0.1,1,1,114,100,1.14,0.054619095,0.324826164,0.043841441,0.086573625,0.029304023,0.029304023,0.041897017,35.46651662,6.002837892,0.52260811,0.123885705
0.137349398,0.6934,0.248158218,0.754845557,0.549037238,0.644059287,0.137349398,1,0.5,1,0.1,1,1,166,100,1.66,0.027753659,0.159641253,0.034524037,0.066631601,0.019352263,0.019352263,0.041357466,39.16385884,4.255148127,0.610761751,0.11268751
0.113669725,0.6996,0.192724467,0.557600108,0.529260399,0.579417811,0.113669725,1,0.5,1,0.1,1,1,218,100,2.18,0.026870394,0.123466428,0.030325329,0.05209038,0.015277089,0.015277089,0.039036393,39.9904261,5.364478535,0.649050992,0.122234373
0.099333333,0.6886,0.15338275,0.416465611,0.503924562,0.541058343,0.099333333,1,0.5,1,0.1,1,1,270,100,2.7,0.021737384,0.116536295,0.030345567,0.048702423,0.015011473,0.015011473,0.039141283,39.04629449,5.428554081,0.633852506,0.138277076
0.086459627,0.7034,0.136011925,0.376642618,0.493543176,0.507513757,0.086459627,1,0.5,1,0.1,1,1,322,100,3.22,0.016478109,0.076854879,0.023565176,0.044346374,0.013093073,0.013093073,0.038294125,41.3203316,4.830829395,0.701320565,0.128332457
0.077433155,0.692,0.118048076,0.319113875,0.481412121,0.492245003,0.077433155,1,0.5,1,0.1,1,1,374,100,3.74,0.014627154,0.0744871,0.022383392,0.04111676,0.009027143,0.009027143,0.037416574,41.30377714,5.231815968,0.714130391,0.13747734
0.069624413,0.6886,0.104465902,0.27920786,0.471014817,0.473023589,0.069624413,1,0.5,1,0.1,1,1,426,100,4.26,0.013324507,0.061040569,0.020059604,0.034759462,0.007402522,0.007402522,0.038626934,41.61762137,5.371602214,0.741105301,0.152155165
0.058535565,0.6846,0.087480134,0.247676268,0.456033823,0.448299601,0.058535565,1,0.5,1,0.1,1,1,478,100,4.78,0.011550179,0.064707719,0.025200022,0.035133868,0.009104529,0.009104529,0.046913111,39.00743168,5.047927128,0.683814609,0.139751496
0.058079096,0.6878,0.079270969,0.200059571,0.450829053,0.441108987,0.058079096,1,0.5,1,0.1,1,1,531,100,5.31,0.009935697,0.042902051,0.020365248,0.029015889,0.00908151,0.00908151,0.035904874,39.35266824,4.767361815,0.700962823,0.113292313
0.053859348,0.6992,0.077211535,0.198691325,0.44972361,0.429106191,0.053859348,1,0.5,1,0.1,1,1,583,100,5.83,0.009218688,0.046759653,0.020040554,0.030275899,0.006399574,0.006399574,0.045159274,41.67474632,4.87639658,0.781238327,0.159426327
0.047590551,0.6932,0.06855244,0.178356205,0.440869615,0.407325565,0.047590551,1,0.5,1,0.1,1,1,635,100,6.35,0.007341362,0.042742802,0.019603268,0.022938102,0.00683029,0.00683029,0.037970515,40.21050679,4.553771485,0.756896329,0.135569727
0.045152838,0.6902,0.06385106,0.171674581,0.435945746,0.406583856,0.045152838,1,0.5,1,0.1,1,1,687,100,6.87,0.008224366,0.046765259,0.020758606,0.028303314,0.007350383,0.007350383,0.045188052,40.55833759,5.397454184,0.777477467,0.163724828
0.043410014,0.6992,0.059475317,0.1486845,0.432083897,0.39393659,0.043410014,1,0.5,1,0.1,1,1,739,100,7.39,0.008118338,0.030641448,0.018137729,0.026107517,0.006655885,0.006655885,0.03918367,40.73539112,5.613071083,0.774727856,0.147261006
0.041340076,0.695,0.055880402,0.137593792,0.427100849,0.386470703,0.041340076,1,0.5,1,0.1,1,1,791,100,7.91,0.005725666,0.033590509,0.018938227,0.022257823,0.005026775,0.005026775,0.046701178,40.90546115,4.058452001,0.791870003,0.148275287
0.037627521,0.6848,0.052054884,0.129293777,0.417612837,0.377528094,0.037627521,1,0.5,1,0.1,1,1,843,100,8.43,0.0061743,0.030671962,0.019455636,0.019504949,0.005208875,0.005208875,0.040459362,40.69798878,4.835613555,0.781549889,0.149174834
0.037206704,0.6882,0.050264918,0.126288944,0.418067554,0.378331352,0.037206704,1,0.5,1,0.1,1,1,895,100,8.95,0.006191594,0.032350558,0.018689043,0.022291514,0.004134078,0.004134078,0.040481601,41.34174464,4.683016632,0.818516932,0.15032087
0.034952482,0.6952,0.046052259,0.110749919,0.415551385,0.37026468,0.034952482,1,0.5,1,0.1,1,1,947,100,9.47,0.005929406,0.028952903,0.018348317,0.026180923,0.00532295,0.00532295,0.043462167,40.21335004,5.101308644,0.782635022,0.1722885
0.03296,0.6922,0.044298926,0.106752903,0.415167145,0.366553326,0.03296,1,0.5,1,0.1,1,1,1000,100,10,0.005733247,0.026689938,0.019247747,0.021907931,0.005067386,0.005067386,0.041775112,40.55407389,5.251194998,0.797995108,0.175858946
