"mean_phiN","mean_N","q_N","mean_phiR","mean_R","q_R","gammainv","mu","sigc","tauinv","k","sigk","m","sigm","error","opf","kr"
0.4638237571128151,1.2031043805847477,4.951695196878786,0.7966810700018301,0.942305453516121,1.574766452736317,0.1,1.,0.5,1.,1.,1.,1.,0.1,2.5972622093252952e-20,0.18955815712297808,1.6926041478066696
0.1814147234946045,0.3439021450506441,1.1152104929905344,0.7067371182521649,0.5975900103838716,0.7422170358168804,1.1,1.,0.5,1.,1.,1.,1.,0.1,3.6865335275669915e-20,0.5326751702329373,1.1047709327919715
0.11558810756233767,0.19711340593809903,0.5866582712036338,0.6958273288667058,0.5260819035717686,0.5866652436075619,2.1,1.,0.5,1.,1.,1.,1.,0.1,5.782246898660604e-20,0.6283168304924309,0.9791742065575654
0.08583575457062265,0.13786531548998654,0.39053549427790785,0.6920624073165904,0.4910366570811686,0.5146124693465991,3.1,1.,0.5,1.,1.,1.,1.,0.1,7.305696260677882e-20,0.6805960188889415,0.9170082252288287
0.06868544389702777,0.10592032525511462,0.2900453520100593,0.6902968124927186,0.4690056254578577,0.47098126213719016,4.1,1.,0.5,1.,1.,1.,1.,0.1,8.477393656169351e-20,0.7155970261916655,0.8776921179727624
0.05745736173414887,0.08595638658571125,0.2294649582897364,0.6893432240372325,0.4533831783979357,0.44089232794876526,5.1,1.,0.5,1.,1.,1.,1.,0.1,9.342047671656453e-20,0.7415046127667475,0.8496938575910089
0.04950348479842547,0.07230315491054583,0.18916005958111967,0.6887891124725809,0.4414875409296841,0.4184823460456898,6.1,1.,0.5,1.,1.,1.,1.,0.1,1.0036977558902979e-19,0.7618715537819507,0.8283053961318696
0.04355760079843811,0.06237922636085816,0.16050594876516058,0.6884560272376145,0.43199348743213783,0.40092054677498146,7.1,1.,0.5,1.,1.,1.,1.,0.1,1.0796343947982113e-19,0.778539448773298,0.8111905490008418
0.03893546342609524,0.05484156043205983,0.13913914273246997,0.6882552877838025,0.42415912257094046,0.3866521948255376,8.1,1.,0.5,1.,1.,1.,1.,0.1,1.1814713786238937e-19,0.7925778816187945,0.7970371566033716
0.0352338426933637,0.04892262464043836,0.12262235755852115,0.6881383748224145,0.4175314632613197,0.37474327753609826,9.1,1.,0.5,1.,1.,1.,1.,0.1,1.252082926113369e-19,0.8046595383878492,0.7850418695741245
0.03219919761744597,0.04415204005582627,0.10949044717763019,0.6880767979540735,0.4118156410060585,0.36459430008401844,10.1,1.,0.5,1.,1.,1.,1.,0.1,1.3258924087649124e-19,0.8152332140361629,0.7746805430239277
0.029663862727273595,0.0402255029583612,0.09881118633741236,0.6880528983804037,0.40681001987869114,0.3558003817810502,11.1,1.,0.5,1.,1.,1.,1.,0.1,1.3508643171877646e-19,0.8246122978083341,0.765594041986358
