"mean_phiN","mean_N","q_N","mean_phiR","mean_R","q_R","gammainv","mu","sigc","tauinv","k","sigk","m","sigm","error","opf","kr"
0.49442997399531263,0.670220835839857,1.4293356736628087,0.8085844420566053,0.9818775927255745,1.674648255342073,0.1,1.,1.,1.,1.,1.,1.,0.1,3.5787942590066105e-22,0.19261018057677592,1.7410190373826486
0.26750751158464403,0.3149782925563981,0.6197653055667264,0.6928494383513383,0.5226280970125701,0.5821256086079138,1.1,1.,1.,1.,1.,1.,1.,0.1,1.223995152549212e-19,0.739687063366314,0.9212192726208
0.17314583526047336,0.17885463314009278,0.31679395444579306,0.6857593068088303,0.41628497927387853,0.3741300563450477,2.1,1.,1.,1.,1.,1.,1.,0.1,4.581709125909514e-19,0.8972539922736182,0.7384380320357148
0.1280514382546212,0.12201578579626346,0.20209374821248124,0.6870543943165841,0.3711212672891503,0.29665104331307623,3.1,1.,1.,1.,1.,1.,1.,0.1,7.005315640703894e-19,0.9742186372802593,0.6612162030164086
0.10186121332493206,0.09184179785397933,0.1452002425724201,0.6892062440184453,0.3450929608249951,0.2554949504534643,4.1,1.,1.,1.,1.,1.,1.,0.1,8.579196132993284e-19,1.0221584900310265,0.616668230211219
0.08473642901540653,0.07332963196483666,0.11196648528141065,0.6912701344071128,0.32766458695276646,0.2294759970393775,5.1,1.,1.,1.,1.,1.,1.,0.1,9.759239853377923e-19,1.0559181302767655,0.586778933381306
0.072646814316552,0.060875947432685644,0.09043490457467862,0.6931082659313382,0.31492860307752707,0.21127648841369043,6.1,1.,1.,1.,1.,1.,1.,0.1,1.066725965258351e-18,1.0814938850578943,0.5648913016778981
0.06364441947597457,0.05195090199463941,0.07546268614141767,0.6947260295619633,0.30507695915699407,0.1976833349720321,7.1,1.,1.,1.,1.,1.,1.,0.1,1.1453773728012607e-18,1.1018281140929562,0.5479276104395379
0.05667316471230092,0.04525368833111996,0.06450492925733378,0.696154271738486,0.297146804789572,0.18705457136099646,8.1,1.,1.,1.,1.,1.,1.,0.1,1.2248669885757906e-18,1.1185576866441553,0.5342484423584206
0.051110582317416664,0.04004973533453429,0.05616893084466096,0.6974241838138215,0.29057302152359515,0.1784585663113553,9.1,1.,1.,1.,1.,1.,1.,0.1,1.303310710383759e-18,1.132676753813505,0.5228909062489251
0.04656575190921661,0.035893886469423715,0.04963270363927165,0.698562220717645,0.28499940854720707,0.17132466629938975,10.1,1.,1.,1.,1.,1.,1.,0.1,1.3864864561682873e-18,1.1448295963358612,0.5132475349817642
0.04278063937381244,0.03250110386975464,0.044381733793905156,0.6995898091343901,0.28018885733536963,0.1652822833619306,11.1,1.,1.,1.,1.,1.,1.,0.1,1.512005757777687e-18,1.1554551445210475,0.5049135694204416
