mean_phiN,mean_phiR,mean_N,q_N,mean_R,q_R,survive,mu,sigc,m,sigm,K,sigK,S,M,gamma,N_bar,qN_bar,R_bar,qR_bar,survive_bar,phiN_bar,phiR_bar,consumed_power,power_bar,opt_f,opt_f_bar
0.464,0.8046,1.11857343653,4.17622118673,0.929707714611,1.53181748873,0.464,1.0,0.5,1.0,0.1,1,1.0,10,100,0.1,0.422918626428,2.42037453388,0.0874782797859,0.215813117812,0.142492105044,0.142492105044,0.048133564173,11.036107788,4.22869162112,0.180388040562,0.077472758836
0.244193548387,0.7134,0.538387979912,1.98094152672,0.668887263734,0.918342807209,0.244193548387,1.0,0.5,1.0,0.1,1,1.0,62,100,0.62,0.0954076641061,0.624948440101,0.0550323805521,0.118772352917,0.0363544236745,0.0363544236745,0.04606994682,32.1527239603,5.65972637783,0.466022551167,0.123111573636
0.183333333333,0.7188,0.339032852634,1.03096920708,0.603212716851,0.747600508213,0.183333333333,1.0,0.5,1.0,0.1,1,1.0,114,100,1.14,0.0419734060251,0.228830760201,0.0351946693813,0.072583351835,0.0289473684211,0.0289473684211,0.0346779468827,36.9668350621,4.72473637819,0.544060074893,0.111017634733
0.145301204819,0.7034,0.241718794989,0.715110188455,0.556617259576,0.653585377399,0.145301204819,1.0,0.5,1.0,0.1,1,1.0,166,100,1.66,0.0456430905771,0.231900001415,0.0379571239549,0.0712963703126,0.0244444737695,0.0244444737695,0.0386062171159,37.8167201842,7.13211611413,0.58072283862,0.155897685181
0.111100917431,0.6918,0.187715331865,0.55121741846,0.516517024392,0.569177354528,0.111100917431,1.0,0.5,1.0,0.1,1,1.0,218,100,2.18,0.0254335417276,0.13775221738,0.0303152237083,0.0506145885013,0.0196186606098,0.0196186606098,0.0465914155183,38.9967178578,5.44533293748,0.626663977658,0.10850038298
0.098,0.7032,0.154120220777,0.426578977919,0.502688724304,0.531327766264,0.098,1.0,0.5,1.0,0.1,1,1.0,270,100,2.7,0.0177554906306,0.106784178681,0.0232919062941,0.0448984222568,0.0146323954254,0.0146323954254,0.0394684684273,39.3790759174,4.59220579356,0.649550317368,0.132989443062
0.0822360248447,0.6892,0.13061212669,0.363846266768,0.486165035784,0.505336793294,0.0822360248447,1.0,0.5,1.0,0.1,1,1.0,322,100,3.22,0.0177821934754,0.11444984783,0.0223704013737,0.0365414105851,0.0134402819527,0.0134402819527,0.0449817740868,39.5396705326,5.38251104461,0.679779906296,0.151775556294
0.0758288770053,0.697,0.114395632187,0.319111247687,0.479610485063,0.491561998898,0.0758288770053,1.0,0.5,1.0,0.1,1,1.0,374,100,3.74,0.0135693782313,0.0899276004581,0.0249980614716,0.0423036125594,0.00828031309127,0.00828031309127,0.0464435140789,40.1330067142,4.42525120789,0.693080255178,0.13399306786
0.071455399061,0.701,0.103235468377,0.273022803119,0.46789513215,0.467022049786,0.071455399061,1.0,0.5,1.0,0.1,1,1.0,426,100,4.26,0.0127813573025,0.0586032491607,0.0271413173597,0.0404471827902,0.00966908218731,0.00966908218731,0.0490815647672,41.082543964,5.29558210396,0.724868941879,0.13777956505
0.0615481171548,0.6846,0.0868842272113,0.223527823073,0.457559442448,0.453460925358,0.0615481171548,1.0,0.5,1.0,0.1,1,1.0,478,100,4.78,0.011454114925,0.0534600079718,0.0255907590365,0.0441802868359,0.00870745376415,0.00870745376415,0.0488757608636,39.0824719952,5.46247883349,0.693108813488,0.137465069028
0.0578154425612,0.6998,0.0812326973054,0.210779563005,0.456211293011,0.443600445855,0.0578154425612,1.0,0.5,1.0,0.1,1,1.0,531,100,5.31,0.0101169552303,0.0491063408644,0.0190345360059,0.0280048639428,0.00867312914476,0.00867312914476,0.0484763860039,40.2576585849,5.35780778202,0.716903519512,0.139563954403
0.0530360205832,0.6952,0.0744593504196,0.191312143773,0.443292812368,0.421690480843,0.0530360205832,1.0,0.5,1.0,0.1,1,1.0,583,100,5.83,0.00995208003235,0.0489162266084,0.0214621293245,0.0310865639576,0.00835980533553,0.00835980533553,0.0431851826441,40.2541274498,5.31108194977,0.739262314044,0.147324373828
0.0483779527559,0.6894,0.069132245482,0.182568064376,0.441156016531,0.414962389301,0.0483779527559,1.0,0.5,1.0,0.1,1,1.0,635,100,6.35,0.00901847642032,0.0461573833366,0.020256534966,0.0289765663027,0.00659193863043,0.00659193863043,0.0399704891138,40.8407359449,5.37059591424,0.760954780977,0.147387866411
0.0459097525473,0.6952,0.063573633636,0.159475867896,0.433896086568,0.400755108367,0.0459097525473,1.0,0.5,1.0,0.1,1,1.0,687,100,6.87,0.00717781223412,0.039232931331,0.01787139004,0.0287311713696,0.00647840301598,0.00647840301598,0.0389994871761,40.1930955475,4.61282622752,0.74762350609,0.147804536019
0.0427334235453,0.6922,0.061047194622,0.158396282976,0.430303693761,0.392334097251,0.0427334235453,1.0,0.5,1.0,0.1,1,1.0,739,100,7.39,0.00520594713614,0.0300756786893,0.01996950725,0.0253092461681,0.00604609534223,0.00604609534223,0.0416312382713,41.8168922757,3.71702553053,0.80113700441,0.110859098864
0.0407585335019,0.696,0.0555777366861,0.138609650472,0.424985915166,0.3852780833,0.0407585335019,1.0,0.5,1.0,0.1,1,1.0,791,100,7.91,0.00640589286182,0.0321073638492,0.0208523186486,0.0236105718735,0.00516050608518,0.00516050608518,0.0502394267483,40.5493759897,4.60677882209,0.766283477444,0.1464769539
0.0390984578885,0.6934,0.0531365094471,0.132034534345,0.426788443741,0.388412456068,0.0390984578885,1.0,0.5,1.0,0.1,1,1.0,843,100,8.43,0.00611863836153,0.0330206314037,0.0177477441205,0.0226512220366,0.00525684868337,0.00525684868337,0.046156689656,41.4672814096,4.56350516497,0.79188017344,0.14155152629
0.0366703910615,0.6976,0.0493405569845,0.124518502569,0.418553177184,0.372601867914,0.0366703910615,1.0,0.5,1.0,0.1,1,1.0,895,100,8.95,0.00482475568559,0.0275845761236,0.0180346995913,0.0217893650199,0.00488404925682,0.00488404925682,0.0338561663512,40.9630045854,3.81458079605,0.802091101705,0.12473849533
0.0357127771911,0.6878,0.0479675512967,0.117146182777,0.417603760281,0.370312919351,0.0357127771911,1.0,0.5,1.0,0.1,1,1.0,947,100,9.47,0.00472708345322,0.0247696333312,0.0170605805624,0.0237706789169,0.00486977911464,0.00486977911464,0.0495293852173,42.2199423387,4.24615547762,0.837590775681,0.140640617825
0.03388,0.6848,0.0441817081512,0.107768317256,0.412620821735,0.366159499307,0.03388,1.0,0.5,1.0,0.1,1,1.0,1000,100,10.0,0.00489807017832,0.0242697957717,0.0157648084289,0.0245881234734,0.00404296920592,0.00404296920592,0.041339569422,40.6200757324,4.57014601543,0.801691956163,0.147842396378
