mean_phiN,mean_phiR,mean_N,q_N,mean_R,q_R,survive,mu,sigc,m,sigm,K,sigK,S,M,gamma,N_bar,qN_bar,R_bar,qR_bar,survive_bar,phiN_bar,phiR_bar,consumed_power,power_bar,opt_f,opt_f_bar
0.258,0.7826,2.28178914963,35.4327353649,0.879961634565,1.41379942901,0.258,1.0,0.1,1.0,0.1,1,1.0,10,100,0.1,0.831792737318,25.7114763943,0.0545398192738,0.144337414661,0.116773284616,0.116773284616,0.0303848646533,20.415466308,7.34041601073,0.156063208616,0.0483917919492
0.0761290322581,0.7418,0.567634599234,7.84516614578,0.773106545166,1.170760384,0.0761290322581,1.0,0.1,1.0,0.1,1,1.0,62,100,0.62,0.146063017248,4.26704699178,0.039233943483,0.0956229231196,0.0292180435464,0.0292180435464,0.0353094888097,30.0467276997,7.28523498437,0.237704042292,0.0710402721352
0.0443859649123,0.7328,0.316533359206,4.44706900407,0.745499455239,1.10340622724,0.0443859649123,1.0,0.1,1.0,0.1,1,1.0,114,100,1.14,0.0749598914596,2.96292205125,0.033323400443,0.0890945806972,0.0176671109197,0.0176671109197,0.0414748116331,30.1440424282,6.59322272176,0.246913307116,0.0692594611247
0.0361445783133,0.7306,0.255357498004,3.38794327426,0.728530194687,1.07639825989,0.0361445783133,1.0,0.1,1.0,0.1,1,1.0,166,100,1.66,0.0533482344657,1.89806509943,0.0278718032791,0.0997825747197,0.0112378060881,0.0112378060881,0.0452287519173,35.28864696,7.21640389058,0.296412159008,0.0863449186348
0.0294495412844,0.7272,0.185648292382,2.17721152954,0.720227710125,1.05240705014,0.0294495412844,1.0,0.1,1.0,0.1,1,1.0,218,100,2.18,0.0449358483789,1.09882393572,0.0247715755137,0.0782225819289,0.00865940359379,0.00865940359379,0.0353858728874,33.5280854363,8.36154462508,0.287585844808,0.0909839928441
0.0237777777778,0.7216,0.161689032847,2.01579289878,0.708098059122,1.01224800846,0.0237777777778,1.0,0.1,1.0,0.1,1,1.0,270,100,2.7,0.0329527251543,0.982842207753,0.0280819997401,0.0830436897682,0.00641885083878,0.00641885083878,0.0348344656913,35.508594381,6.9596236054,0.314742514987,0.0934586942482
0.0191925465839,0.7162,0.126657527555,1.60881759328,0.697940406548,0.999237630968,0.0191925465839,1.0,0.1,1.0,0.1,1,1.0,322,100,3.22,0.0247239522818,0.969605651141,0.0271905233269,0.0672176405815,0.0065347400731,0.0065347400731,0.0429832525526,33.1454024271,6.34284689702,0.292232272467,0.0851945490281
0.017807486631,0.7134,0.115666311915,1.36573457202,0.698878331593,0.994465187107,0.017807486631,1.0,0.1,1.0,0.1,1,1.0,374,100,3.74,0.0249977157037,0.476332551497,0.0227804083927,0.0738758174041,0.0067559813537,0.0067559813537,0.0396792137019,35.5025913909,7.56012037614,0.307671735279,0.0897292427275
0.0171361502347,0.712,0.105569630094,1.34875912297,0.696039191264,1.00076411335,0.0171361502347,1.0,0.1,1.0,0.1,1,1.0,426,100,4.26,0.024595359614,0.926658208643,0.0245899264601,0.0711523717061,0.0057163359915,0.0057163359915,0.0359444015112,35.9381114596,8.4587018109,0.33117868742,0.107608646103
0.0144769874477,0.7162,0.0889460607571,0.972774120916,0.687349084318,0.970873092614,0.0144769874477,1.0,0.1,1.0,0.1,1,1.0,478,100,4.78,0.0176061004625,0.446133871037,0.0244958056433,0.0812368881564,0.00411746095402,0.00411746095402,0.0379942100852,34.2079299072,6.18823300536,0.293312438011,0.0941204542745
